,Access,CT du lieu,CT may tinh,CNXHKH,Chuyen de ,CS du lieu,Cong nghe NET ,CNphan mem,Dai so so hoc,DS tuyen tinh,Dan so,Do an,Do hoa,Foxpro,Giai tich 1,Giai tich 2,Giai tich so,He dieu hanh ,He Quan tri CSDL1 ,He Quan tri CSDL2 ,Hinh giai tich,Hop ngu,Kinh te chinh tri,Ky thuat lap trinh,LT huong doi tuong,Lich su Dang,Logic toan ,Mang may tinh,NN hinh thuc,Ngon ngu C,NM phap luat,NM thuat toan,Pascal nang cao,PTTKHT,TK ung dung,TH he quan tri CSDL1,TH Ngon ngu C,TH nang cao3,Tieng Anh 1,Tieng Anh 2,Tieng Anh 3,Tieng Anh 4,Tieng Anh 5,Tieng Anh 6,TH dai cuong 2,TH dai cuong 1,Toan roi rac,Tri tue nhan tao,Triet hoc 1,Triet hoc 2,TT Ho Chi Minh,VL Dai cuong 1,VL Dai cuong 2,Visual Basic,Xac suat,Unnamed: 55
0,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
1,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
2,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
3,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
4,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
5,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
6,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
7,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
8,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
9,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
10,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
11,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
12,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
13,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
14,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
15,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
16,True,True,False,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False
17,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
18,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False
